"id","model","ram","processor","storage","battery","price","screen_size"
1,Infinix Zero 30 5G,12,MediaTek Dimensity 8020,256,5000,4299000,6.78
2,Infinix Zero 30,8,MediaTek Helio G99,256,5000,3099000,6.78
3,Infinix GT 10 pro 5G,8,MediaTek Dimensity 8050,256,5000,3899000,6.67
4,Infinix Hot 30 Play,4,MediaTek Helio G37,64,6000,1249000,6.82
5,Infinix Note 30 Pro,8,MediaTek Helio G99,256,5000,2948000,6.67 
6,Infinix Hot 30,8,MediaTek Helio G88,128,5000,1609000,6.78
7,Infinix Note 30,8,MediaTek Helio G99,256,5000,2499000,6.78
8,Infinix Hot 30 i,8,MediaTek Helio G37,128,5000,1499000,6.6
9,Infinix Smart 7,3,MediaTek Helio A22,64,5000,1149000,6.6
10,Infinix Hot 20 i,4,MediaTek Helio G37,64,5000,1599000,6.6
